Username,Label,Text 
Rainisa,1,Nnti dibilang Jawa Katrok marah pdhl merugikan byk org.
Gajah Oling,0,Karena yg suka kebanyakan orang SDM RENDAH dan mirisnya banyaaaaaak sekali SDM RENDAH nya
@tehjahhee,1,"""JAWA ADALAH HAMA"" yg berbuat segelintir,yg kena getah satu suku anj emang padahal sebetulnya banyak juga orang jawa yg muak sama kelakuan begini"
@simawalisi,0,Apakah sikap saling menghargai sudah luntur dari kehidupan sehari-hari bangsa Indonesia?
@kojur_saestu,0,Bangsa primitif. Nyari apa coba bikin gini2 ?
@ugedt_ugedt,0,rasanya senang banget liat umat beragama damai dan adem ayem
@Kosasih0706,0,Budaya tolol sih bikin malu kami warga asli Jawa yg waras
@Gojosatoru96214,1,Tahun dah baru tpi javva masi primitif
@kanjengbagos,0,Hiburan orang susah yang nyusahin orang laen... Mulyono's vibes
@dewaxgamex,0,"mungkin yg jualan kaca sepi jadi ini gunala sound horeg, biar bahan bangunan dan kaca banyak dibeli. meningkatkan umkm penjual"
@MuhamadDja32150,0,Lanjutkan kebodohan ini kawan !!!
@h45bizack,0,"Warga nya diam aja ya gak ada kapok nya lah, coba bakar rame rame"
@hatsonghosting,1,"kitab kok revisi berkali -kali, pemuja israel emang kagak jelas goblok"
@masSastro12,0,nah...sebuah contoh nyata (lagi) : ketika TEKNOLOGI berada di tangan org bodoh.... maka beginilah jadinya
suparboskut,0,"itu bentuk mereka melestarikan budaya mereka, selama itu baik dan tidak merugikan sah sah saja"
@jatimkuatbolo,0,Mari kuatkan rasa toleransi antar golongan di masa pilkada
@transjawirout,1,Tebak suku
@tessamaylik,1,mending diurusin dulu tuh warga kulit hitam kelakukannya udah kek monyet kebun binatang
@tidursianggggg,0,coba lempar bensin sama api
@awekensfox,0,yang begini dipelihara sama pemerintah
akiTArawan,0,Sayang banget tidak ada yang pelihara kebudayaan jawa kuno padahal bagus banget
@elfajr25,0,Budaya yang ngak ada manfaatnya Cuman menjelekkan Jawa khususnya jatim
@jodie_pn,0,"umat Kristen kalau ibadah rasanya damai banget ya, dulu masuk ke gerejanya dingin banget dan sunyi"
@HermawanTsa,1,Cuma modelan jamet katro aja sih kaya gitu
@RAryaBaribin,1,muslim bontot ini kebanyakan gaya emang isinya hijab narsis
aisyah10,0,"Gue mahasiswa sastra budaya, dan gue mengakui di Indonesia ini sangat diverse. Kebudayaan mereka sangat beragam dan bervariasi. Contoh aja banyak perpaduan budaya Cina dan Jawa yang bikin unik dan legit. Lalu ada perpaduan Kristen dan Jawa yang dimana itu buat gue kagum karena mereka ibadah sekaligus melestarikan"
@everysociETE,1,sono keluar lu sebelum gua bakar tempat lu doa
What Zit Tooya,0,"Katanya sama2 menikmati jd susah, kecuali warga melawan. Lempar aja bensin satu plastik dah kelar tu."
@DavidBonx,1,"Tlg jgn bilang jawa, krn kami di jateng sekuat tenaga bakal menangkal budaya taik mcm gini."
@jumjumareka,0,"Menghargai adalah bentuk Bhineka Tunggal Ika, kalau kamu bisa menghargai teman seagamamu dan setanah airmu. Yakin Indonesia Emas 2045"
@ASMULYADI6,0,Harus ada aturan yang jelas....spy TDK terjadi hal seperti ini
@abdullah100570,0,Gambaran manusia manusia primitif..
@andisuhendra121,0,SDM ter rendah di. Dunia
@riskal_put42600,1,Tapi modelan manusia tai gak beradab yg kek ginian cuma di bagian jawa ya. daerah lain ga ada
@Brngus,1,Jawa yg katrok udh ke bnyak populasi jd butuh hiburan smpe horeg2 gitu
arifhermawan,0,barusan gue cobain restoran cina di PIK2 enak banget
@arnintyaedogawa,0,Iq yg tdnya rata2 90an jd 78 gmn gk makin makin ini negara. Budidaya SDM rendah supaya mereka2 mafia punya kuasa sampe ajal menejemput
